"区名","count","D","Date"
"緑区",2375,"2021年11月15日",2021-11-15
"中央区",NA,"2021年11月15日",2021-11-15
"南区",NA,"2021年11月15日",2021-11-15
"市外",830,"2021年11月15日",2021-11-15
"計",NA,"2021年11月15日",2021-11-15
"緑区",2375,"2021年11月8日",2021-11-08
"中央区",4413,"2021年11月8日",2021-11-08
"南区",4140,"2021年11月8日",2021-11-08
"市外",830,"2021年11月8日",2021-11-08
"計",11758,"2021年11月8日",2021-11-08
"緑区",2375,"2021年11月1日",2021-11-01
"中央区",4410,"2021年11月1日",2021-11-01
"南区",4139,"2021年11月1日",2021-11-01
"市外",830,"2021年11月1日",2021-11-01
"計",11754,"2021年11月1日",2021-11-01
"緑区",2369,"2021年10月25日",2021-10-25
"中央区",4409,"2021年10月25日",2021-10-25
"南区",4139,"2021年10月25日",2021-10-25
"市外",830,"2021年10月25日",2021-10-25
"計",11747,"2021年10月25日",2021-10-25
"緑区",2363,"2021年10月18日",2021-10-18
"中央区",4408,"2021年10月18日",2021-10-18
"南区",4138,"2021年10月18日",2021-10-18
"市外",830,"2021年10月18日",2021-10-18
"計",11739,"2021年10月18日",2021-10-18
"緑区",2359,"2021年10月11日",2021-10-11
"中央区",4397,"2021年10月11日",2021-10-11
"南区",4135,"2021年10月11日",2021-10-11
"市外",829,"2021年10月11日",2021-10-11
"計",11720,"2021年10月11日",2021-10-11
"緑区",2352,"2021年10月4日",2021-10-04
"中央区",4375,"2021年10月4日",2021-10-04
"南区",4118,"2021年10月4日",2021-10-04
"市外",827,"2021年10月4日",2021-10-04
"計",11672,"2021年10月4日",2021-10-04
"緑区",2331,"2021年9月27日",2021-09-27
"中央区",4345,"2021年9月27日",2021-09-27
"南区",4098,"2021年9月27日",2021-09-27
"市外",824,"2021年9月27日",2021-09-27
"計",11598,"2021年9月27日",2021-09-27
"緑区",2292,"2021年9月20日",2021-09-20
"中央区",4282,"2021年9月20日",2021-09-20
"南区",4048,"2021年9月20日",2021-09-20
"市外",820,"2021年9月20日",2021-09-20
"計",11442,"2021年9月20日",2021-09-20
"緑区",2217,"2021年9月13日",2021-09-13
"中央区",4150,"2021年9月13日",2021-09-13
"南区",3957,"2021年9月13日",2021-09-13
"市外",810,"2021年9月13日",2021-09-13
"計",11134,"2021年9月13日",2021-09-13
"緑区",2375,"2021年11月22日",2021-11-22
"中央区",NA,"2021年11月22日",2021-11-22
"南区",NA,"2021年11月22日",2021-11-22
"市外",830,"2021年11月22日",2021-11-22
"計",NA,"2021年11月22日",2021-11-22
